iter	Passed	Remaining
945	3370	192
946	3371	188
947	3373	185
948	3375	181
949	3376	177
950	3383	174
951	3384	170
952	3386	167
953	3388	163
954	3390	159
955	3391	156
956	3397	152
957	3399	149
958	3400	145
959	3402	141
960	3403	138
961	3404	134
962	3406	130
963	3410	127
964	3412	123
965	3413	120
966	3416	116
967	3417	112
968	3419	109
969	3420	105
970	3421	102
971	3428	98
972	3431	95
973	3433	91
974	3453	88
975	3460	85
976	3462	81
977	3464	77
978	3465	74
979	3467	70
980	3474	67
981	3475	63
982	3477	60
983	3479	56
984	3481	53
985	3482	49
986	3491	45
987	3494	42
988	3498	38
989	3512	35
990	3514	31
991	3525	28
992	3527	24
993	3529	21
994	3533	17
995	3538	14
996	3540	10
997	3541	7
998	3543	3
999	3545	0
